Episódio,Sucesso,Distância (m),Tempo (s),Velocidade (m/s)
106,Sim,9.03,10.13,0.89
107,Não,0.14,4.50,0.03
108,Sim,9.00,12.00,0.75
109,Sim,9.02,11.63,0.78
110,Não,-0.03,3.17,-0.01
111,Não,5.92,7.47,0.79
112,Não,0.25,2.40,0.10
113,Não,5.48,7.30,0.75
114,Não,6.63,8.87,0.75
115,Sim,9.03,10.77,0.84
116,Não,0.44,1.87,0.24
117,Não,-0.02,2.40,-0.01
118,Não,0.20,2.27,0.09
119,Não,3.25,4.57,0.71
120,Não,6.88,8.77,0.78
121,Não,5.50,8.47,0.65
122,Não,5.69,7.10,0.80
123,Não,7.71,9.20,0.84
124,Não,0.23,2.33,0.10
125,Não,1.23,2.30,0.54
126,Não,4.75,6.47,0.74
127,Não,3.65,5.20,0.70
128,Não,1.65,4.20,0.39
129,Não,0.78,2.23,0.35
130,Não,6.28,8.70,0.72
131,Não,6.72,8.57,0.79
132,Não,6.60,9.63,0.69
133,Não,6.20,7.37,0.84
134,Não,6.03,8.10,0.74
135,Não,7.80,11.73,0.67
136,Sim,9.01,11.07,0.81
137,Não,6.54,8.50,0.77
138,Não,3.73,5.87,0.64
139,Não,7.62,10.73,0.71
140,Não,4.86,7.87,0.62
141,Não,5.06,6.53,0.77
142,Não,8.59,10.10,0.85
143,Não,8.33,12.73,0.65
144,Não,5.97,9.13,0.65
145,Não,0.44,3.53,0.13
146,Não,5.33,8.43,0.63
147,Não,6.65,8.30,0.80
148,Não,6.43,9.80,0.66
149,Não,0.99,3.77,0.26
150,Não,8.32,12.50,0.67
151,Não,5.59,7.90,0.71
152,Não,6.07,7.53,0.81
153,Não,7.79,9.90,0.79
154,Sim,9.01,9.90,0.91
155,Não,6.19,9.90,0.63
156,Não,4.95,6.60,0.75
157,Não,8.14,10.73,0.76
158,Não,5.33,7.43,0.72
159,Sim,9.00,11.20,0.80
160,Não,5.25,7.77,0.68
161,Sim,9.02,10.27,0.88
162,Não,5.44,7.10,0.77
163,Não,6.86,9.00,0.76
164,Não,5.46,7.93,0.69
165,Não,0.08,2.23,0.04
166,Não,1.12,4.07,0.27
167,Não,8.00,10.77,0.74
168,Não,-0.32,3.00,-0.11
169,Não,3.06,5.70,0.54
170,Sim,9.01,12.20,0.74
171,Sim,9.01,13.13,0.69
172,Não,7.56,9.37,0.81
173,Não,-0.05,3.70,-0.01
174,Não,4.80,7.50,0.64
175,Não,8.58,11.20,0.77
176,Não,6.01,7.30,0.82
177,Não,0.04,2.70,0.02
178,Não,5.80,7.73,0.75
179,Não,0.32,2.73,0.12
180,Não,5.98,8.20,0.73
181,Não,0.25,2.33,0.11
182,Não,0.60,2.93,0.21
183,Não,0.62,3.23,0.19
184,Não,6.81,8.50,0.80
185,Não,6.18,7.93,0.78
186,Não,6.16,9.73,0.63
187,Sim,9.02,14.10,0.64
188,Não,0.95,2.73,0.35
189,Não,1.44,3.80,0.38
190,Sim,9.00,11.93,0.75
191,Não,7.22,9.83,0.73
192,Sim,9.03,10.33,0.87
193,Não,5.56,7.50,0.74
194,Não,4.27,6.80,0.63
195,Não,-0.23,2.03,-0.11
196,Não,3.69,7.70,0.48
197,Sim,9.02,10.43,0.86
198,Não,5.79,8.17,0.71
199,Sim,9.00,12.77,0.71
200,Não,8.85,13.20,0.67
201,Sim,9.02,10.73,0.84
202,Não,0.17,2.50,0.07
203,Não,5.03,6.20,0.81
204,Não,5.77,7.50,0.77
205,Não,7.13,9.23,0.77
206,Não,8.91,11.20,0.80
207,Sim,9.01,12.13,0.74
208,Não,5.97,8.93,0.67
209,Não,8.15,10.27,0.79
210,Não,5.28,6.50,0.81
211,Não,0.26,2.97,0.09
212,Sim,9.02,12.37,0.73
213,Não,-0.01,2.63,-0.00
214,Não,6.92,11.43,0.61
215,Não,8.26,10.07,0.82
216,Não,6.49,9.23,0.70
217,Não,5.18,7.70,0.67
218,Sim,9.03,11.60,0.78
219,Não,5.93,8.10,0.73
220,Não,5.79,8.53,0.68
221,Não,5.84,7.40,0.79
222,Não,6.44,9.07,0.71
223,Sim,9.05,10.23,0.88
224,Não,-0.14,2.53,-0.05
225,Sim,9.02,11.80,0.76
226,Não,8.86,11.27,0.79
227,Não,5.69,7.83,0.73
228,Não,0.41,2.53,0.16
229,Não,-0.10,2.73,-0.04
230,Não,-0.13,1.83,-0.07
231,Não,-0.02,3.73,-0.01
232,Sim,9.03,12.77,0.71
233,Não,5.54,7.77,0.71
234,Não,7.09,10.33,0.69
235,Não,8.61,10.90,0.79
236,Sim,9.03,11.17,0.81
237,Não,0.88,3.73,0.24
238,Não,2.16,4.20,0.51
239,Não,-0.15,1.87,-0.08
240,Não,0.23,2.93,0.08
241,Não,5.79,7.40,0.78
242,Não,7.61,10.57,0.72
243,Não,6.74,11.67,0.58
244,Não,6.06,7.97,0.76
245,Sim,9.01,11.13,0.81
246,Não,8.51,10.50,0.81
247,Não,6.19,8.57,0.72
248,Não,5.45,7.37,0.74
249,Sim,9.03,11.30,0.80
250,Não,5.40,8.13,0.66
251,Não,0.21,2.93,0.07
252,Não,0.34,3.23,0.11
253,Não,1.16,2.40,0.48
254,Não,0.30,2.97,0.10
255,Não,0.52,3.13,0.17
256,Sim,9.01,14.40,0.63
257,Não,6.33,9.37,0.68
258,Não,5.54,7.63,0.73
259,Não,5.05,7.57,0.67
260,Sim,9.02,10.67,0.85
261,Não,6.02,8.23,0.73
262,Não,0.04,3.20,0.01
263,Sim,9.04,9.87,0.92
264,Não,5.99,10.40,0.58
265,Não,0.03,2.37,0.01
266,Não,6.19,8.47,0.73
267,Não,2.83,3.37,0.84
268,Não,1.12,2.50,0.45
269,Não,7.11,10.40,0.68
270,Não,-0.23,2.10,-0.11
271,Sim,9.01,10.67,0.84
272,Não,5.37,7.13,0.75
273,Não,6.16,8.87,0.69
274,Não,5.07,7.60,0.67
275,Não,5.88,7.80,0.75
276,Sim,9.02,12.97,0.70
277,Não,7.31,12.47,0.59
278,Sim,9.02,10.90,0.83
279,Não,1.42,3.10,0.46
280,Não,6.05,7.50,0.81
281,Não,7.17,11.07,0.65
282,Não,6.79,9.10,0.75
283,Sim,9.03,12.43,0.73
284,Não,7.79,12.97,0.60
285,Não,5.03,7.77,0.65
286,Não,4.57,6.70,0.68
287,Não,4.39,6.60,0.67
288,Não,8.42,10.80,0.78
289,Sim,9.03,10.27,0.88
290,Não,6.13,7.97,0.77
291,Não,8.36,9.77,0.86
292,Sim,9.02,11.90,0.76
293,Sim,9.03,10.00,0.90
294,Não,1.13,4.57,0.25
295,Sim,9.01,9.73,0.93
296,Não,5.31,7.53,0.70
297,Não,7.66,12.23,0.63
298,Não,5.89,7.17,0.82
299,Não,5.47,7.27,0.75
300,Não,1.47,3.07,0.48
301,Não,5.90,7.40,0.80
302,Não,0.25,2.37,0.11
303,Não,1.77,4.37,0.41
304,Sim,9.02,11.33,0.80
305,Não,5.42,7.17,0.76
306,Sim,9.03,11.33,0.80
307,Não,5.72,9.07,0.63
308,Não,1.29,2.33,0.55
309,Sim,9.02,11.10,0.81
310,Sim,9.03,10.27,0.88
311,Sim,9.02,12.83,0.70
312,Não,3.95,5.73,0.69
313,Não,5.54,8.20,0.68
314,Não,6.19,10.60,0.58
315,Não,7.20,10.40,0.69
316,Não,4.12,7.23,0.57
317,Sim,9.01,10.70,0.84
318,Sim,9.01,12.77,0.71
319,Sim,9.00,10.17,0.89
320,Não,6.11,7.63,0.80
321,Não,4.47,7.47,0.60
322,Não,0.00,2.40,0.00
323,Não,6.25,7.60,0.82
324,Não,8.31,10.43,0.80
325,Não,8.39,10.70,0.78
326,Não,5.27,6.60,0.80
327,Não,5.59,8.57,0.65
328,Não,0.09,2.37,0.04
329,Não,6.81,9.03,0.75
330,Não,5.18,7.77,0.67
331,Não,0.24,3.50,0.07
332,Não,7.15,10.63,0.67
333,Não,1.68,3.60,0.47
334,Não,4.28,6.03,0.71
335,Sim,9.01,10.97,0.82
336,Não,4.21,6.23,0.68
337,Não,6.95,10.37,0.67
338,Sim,9.03,11.23,0.80
339,Não,7.56,9.40,0.80
340,Não,8.72,10.50,0.83
341,Não,4.92,6.63,0.74
342,Não,4.16,6.17,0.68
343,Não,1.04,2.80,0.37
344,Não,0.36,2.83,0.13
345,Não,4.56,6.90,0.66
346,Não,6.89,8.57,0.80
347,Não,3.92,5.50,0.71
348,Sim,9.03,13.93,0.65
349,Não,5.59,8.63,0.65
350,Não,4.71,7.37,0.64
351,Sim,9.01,11.37,0.79
352,Sim,9.02,11.23,0.80
353,Não,4.68,6.20,0.76
354,Não,0.11,2.90,0.04
355,Não,0.28,2.17,0.13
356,Não,4.78,6.97,0.69
357,Não,7.82,10.87,0.72
358,Não,6.61,11.30,0.59
359,Não,7.33,8.77,0.84
360,Não,5.16,6.30,0.82
361,Não,4.74,6.97,0.68
362,Sim,9.02,10.50,0.86
363,Não,6.24,9.27,0.67
364,Não,5.21,7.00,0.74
365,Não,5.61,8.43,0.67
366,Não,4.55,7.10,0.64
367,Não,1.60,3.60,0.44
368,Não,8.21,10.60,0.77
369,Não,6.33,9.13,0.69
370,Não,5.24,7.77,0.67
371,Não,7.13,8.93,0.80
372,Não,5.31,7.57,0.70
373,Sim,9.03,11.97,0.75
374,Não,-0.07,2.70,-0.02
375,Não,6.68,8.33,0.80
376,Sim,9.02,11.63,0.78
377,Sim,9.01,11.50,0.78
378,Não,6.45,8.23,0.78
379,Não,0.15,2.57,0.06
380,Não,1.12,3.07,0.37
381,Sim,9.02,10.50,0.86
382,Sim,9.02,10.07,0.90
383,Não,8.85,13.30,0.67
384,Sim,9.01,11.67,0.77
385,Não,-0.21,2.90,-0.07
386,Sim,9.04,11.63,0.78
387,Não,8.82,9.83,0.90
388,Não,0.34,2.33,0.15
389,Não,0.06,2.97,0.02
390,Não,-0.40,2.93,-0.13
391,Não,3.94,6.20,0.64
392,Não,0.83,3.33,0.25
393,Não,0.21,2.40,0.09
394,Não,5.09,6.97,0.73
395,Sim,9.01,10.30,0.87
396,Não,-0.15,2.60,-0.06
397,Não,6.47,9.33,0.69
398,Sim,9.01,11.93,0.75
399,Não,4.73,6.43,0.74
400,Não,4.75,6.40,0.74
401,Não,0.45,2.93,0.15
402,Não,0.29,2.67,0.11
403,Não,5.72,7.67,0.75
404,Sim,9.01,10.47,0.86
405,Não,5.81,8.13,0.71
406,Não,-0.21,2.37,-0.09
407,Não,6.45,8.60,0.75
408,Não,6.55,9.17,0.71
409,Não,7.14,8.97,0.80
410,Sim,9.02,10.93,0.83
411,Não,5.59,6.87,0.81
412,Não,0.17,3.07,0.06
413,Não,6.15,8.47,0.73
414,Não,4.74,6.73,0.70
415,Sim,9.02,9.73,0.93
416,Não,5.32,7.10,0.75
417,Não,5.19,7.13,0.73
418,Não,5.32,9.10,0.58
419,Não,7.81,9.60,0.81
420,Não,6.16,8.47,0.73
421,Não,5.76,9.43,0.61
422,Não,7.49,10.47,0.72
423,Não,0.17,2.90,0.06
424,Sim,9.02,11.83,0.76
425,Sim,9.01,11.00,0.82
426,Não,0.75,2.27,0.33
427,Não,7.54,9.70,0.78
428,Não,7.02,8.90,0.79
429,Não,-0.03,2.43,-0.01
430,Não,5.34,7.40,0.72
431,Não,0.56,4.33,0.13
432,Não,5.60,8.43,0.66
433,Sim,9.02,13.93,0.65
434,Não,7.94,13.80,0.58
435,Não,8.57,10.57,0.81
436,Não,0.17,2.50,0.07
437,Não,4.41,6.93,0.64
438,Não,7.49,9.27,0.81
439,Não,-0.06,3.40,-0.02
440,Não,0.04,2.87,0.01
441,Sim,9.01,12.40,0.73
442,Não,4.91,6.57,0.75
443,Não,5.78,8.57,0.67
444,Não,-0.24,3.27,-0.07
445,Não,5.08,8.63,0.59
446,Não,5.38,7.97,0.67
447,Sim,9.02,11.10,0.81
448,Sim,9.02,11.77,0.77
449,Não,-0.02,2.53,-0.01
450,Sim,9.02,10.07,0.90
451,Não,7.19,8.90,0.81
452,Sim,9.04,10.93,0.83
453,Não,0.19,2.57,0.07
454,Não,6.86,10.43,0.66
455,Não,6.85,8.70,0.79
456,Não,4.95,6.13,0.81
457,Não,6.17,9.07,0.68
458,Sim,9.00,10.60,0.85
459,Sim,9.01,10.43,0.86
460,Não,-0.19,2.17,-0.09
461,Não,-0.32,3.57,-0.09
462,Não,6.04,8.80,0.69
463,Sim,9.02,10.60,0.85
464,Não,7.89,12.77,0.62
465,Não,7.84,10.17,0.77
466,Não,8.10,10.53,0.77
467,Sim,9.03,10.30,0.88
468,Sim,9.00,10.77,0.84
469,Não,7.79,9.47,0.82
470,Não,4.86,6.83,0.71
471,Não,6.82,15.00,0.45
472,Sim,9.04,11.17,0.81
