Episódio,Sucesso,Distância (m),Tempo (s),Velocidade (m/s)
87,Não,4.28,7.07,0.61
88,Não,5.54,7.57,0.73
89,Não,8.26,10.27,0.80
90,Não,6.55,8.03,0.82
91,Sim,9.01,10.73,0.84
92,Não,6.35,7.90,0.80
93,Sim,9.01,12.07,0.75
94,Não,6.32,8.13,0.78
95,Não,6.30,8.90,0.71
96,Não,8.72,10.43,0.84
97,Não,7.73,9.37,0.83
98,Não,8.48,9.87,0.86
99,Não,6.62,8.63,0.77
100,Não,8.75,10.47,0.84
101,Não,5.68,7.47,0.76
102,Sim,9.02,10.80,0.84
103,Não,8.53,9.83,0.87
104,Não,1.59,3.90,0.41
105,Não,6.04,7.77,0.78
106,Não,8.92,10.60,0.84
107,Não,8.71,10.67,0.82
108,Não,5.59,7.43,0.75
109,Sim,9.03,10.87,0.83
110,Não,7.61,9.23,0.82
111,Não,8.75,11.03,0.79
112,Não,8.59,11.03,0.78
113,Não,7.58,9.03,0.84
114,Não,4.07,5.77,0.71
115,Não,8.68,9.97,0.87
116,Não,8.51,10.90,0.78
117,Não,4.31,6.60,0.65
118,Não,7.48,8.70,0.86
119,Não,5.21,7.03,0.74
120,Não,8.04,9.47,0.85
121,Não,2.23,3.93,0.57
122,Não,5.84,7.57,0.77
123,Não,6.85,8.07,0.85
124,Sim,9.00,10.87,0.83
125,Não,8.38,10.37,0.81
126,Sim,9.02,10.80,0.84
127,Não,6.09,8.23,0.74
128,Não,2.01,3.17,0.64
129,Sim,9.01,10.47,0.86
130,Sim,9.01,10.67,0.84
131,Sim,9.01,10.50,0.86
132,Sim,9.04,10.60,0.85
133,Sim,9.02,10.73,0.84
134,Sim,9.00,10.87,0.83
135,Não,7.83,9.50,0.82
136,Não,4.03,5.93,0.68
137,Sim,9.02,10.47,0.86
138,Sim,9.00,10.83,0.83
139,Não,8.80,11.23,0.78
140,Não,4.23,6.13,0.69
141,Não,7.60,10.03,0.76
142,Não,7.90,9.20,0.86
143,Não,8.69,10.80,0.80
144,Não,7.80,10.00,0.78
145,Sim,9.00,11.30,0.80
146,Não,3.23,6.17,0.52
147,Não,7.66,9.87,0.78
148,Não,6.32,8.60,0.73
149,Sim,9.03,10.53,0.86
150,Não,8.29,10.20,0.81
151,Não,7.47,9.80,0.76
152,Sim,9.03,10.57,0.85
153,Sim,9.02,10.70,0.84
154,Sim,9.02,10.93,0.82
155,Não,5.90,8.03,0.73
156,Não,8.79,10.47,0.84
157,Não,4.41,5.43,0.81
158,Não,8.45,9.77,0.86
159,Não,8.53,10.77,0.79
160,Não,6.07,7.53,0.81
161,Sim,9.00,10.47,0.86
162,Não,8.35,10.60,0.79
163,Não,5.98,7.63,0.78
164,Sim,9.02,10.60,0.85
165,Não,5.41,7.73,0.70
166,Sim,9.00,11.33,0.79
167,Não,8.75,10.10,0.87
168,Não,6.42,8.43,0.76
169,Não,5.90,8.10,0.73
170,Não,7.29,10.00,0.73
171,Não,2.51,4.07,0.62
172,Não,8.50,11.20,0.76
173,Não,6.41,8.03,0.80
174,Não,8.04,10.03,0.80
175,Sim,9.01,11.10,0.81
176,Não,5.81,8.47,0.69
177,Sim,9.01,11.07,0.81
178,Não,5.81,7.73,0.75
179,Sim,9.01,10.57,0.85
180,Sim,9.02,10.53,0.86
181,Não,7.34,9.10,0.81
182,Não,3.39,6.30,0.54
183,Não,6.41,7.67,0.84
184,Não,6.19,7.97,0.78
185,Não,7.97,9.80,0.81
186,Não,8.86,11.00,0.81
187,Não,6.49,8.20,0.79
188,Não,5.32,7.47,0.71
189,Não,8.69,10.00,0.87
190,Não,8.63,11.83,0.73
191,Não,6.86,9.07,0.76
192,Não,3.98,6.77,0.59
193,Sim,9.01,9.87,0.91
194,Sim,9.02,11.00,0.82
195,Sim,9.01,10.23,0.88
196,Não,6.89,8.83,0.78
197,Não,4.13,6.53,0.63
198,Não,7.66,9.37,0.82
199,Sim,9.02,11.43,0.79
200,Não,6.03,8.10,0.74
201,Não,3.52,6.17,0.57
202,Não,8.34,10.13,0.82
203,Não,6.09,7.80,0.78
204,Sim,9.03,11.10,0.81
205,Não,5.48,8.20,0.67
206,Não,5.52,7.47,0.74
207,Não,7.13,8.67,0.82
208,Sim,9.02,10.63,0.85
209,Sim,9.01,10.83,0.83
210,Não,5.39,7.30,0.74
211,Não,2.37,4.70,0.51
212,Não,5.55,7.80,0.71
213,Não,8.22,10.57,0.78
214,Não,6.53,7.93,0.82
215,Não,5.00,7.23,0.69
216,Não,6.36,7.70,0.83
217,Não,8.47,10.03,0.84
218,Sim,9.02,10.27,0.88
219,Não,6.54,8.43,0.78
220,Não,8.82,10.27,0.86
221,Não,5.69,7.90,0.72
222,Não,6.53,8.37,0.78
223,Não,5.22,6.87,0.76
224,Não,5.76,8.73,0.66
225,Não,3.65,6.10,0.60
226,Sim,9.00,11.47,0.79
227,Não,8.83,10.83,0.81
228,Sim,9.00,10.33,0.87
229,Sim,9.03,11.03,0.82
230,Sim,9.01,11.33,0.79
231,Sim,9.01,10.67,0.84
232,Não,6.61,8.20,0.81
233,Não,7.83,9.60,0.82
234,Não,6.12,8.40,0.73
235,Sim,9.02,11.50,0.78
236,Sim,9.00,12.13,0.74
237,Sim,9.02,10.30,0.88
238,Sim,9.01,11.27,0.80
239,Não,5.92,8.00,0.74
240,Não,5.70,8.43,0.68
241,Não,6.49,8.80,0.74
242,Não,5.80,8.20,0.71
243,Sim,9.02,10.30,0.88
244,Não,7.47,10.03,0.74
245,Não,7.08,8.67,0.82
246,Não,3.85,6.33,0.61
247,Não,8.10,10.07,0.81
248,Não,8.49,9.93,0.85
249,Não,6.05,7.70,0.79
250,Não,8.60,10.63,0.81
251,Não,7.95,9.37,0.85
252,Não,8.44,10.10,0.84
253,Não,7.35,9.20,0.80
254,Sim,9.00,10.03,0.90
255,Não,8.07,10.00,0.81
256,Sim,9.03,11.10,0.81
257,Sim,9.03,10.80,0.84
258,Não,8.45,10.10,0.84
259,Não,8.21,9.80,0.84
260,Não,6.13,7.70,0.80
261,Não,2.98,5.40,0.55
262,Não,8.80,9.97,0.88
263,Sim,9.01,10.80,0.83
264,Não,7.83,9.77,0.80
265,Sim,9.03,11.20,0.81
266,Sim,9.03,9.80,0.92
267,Não,5.82,7.30,0.80
268,Sim,9.02,10.63,0.85
269,Sim,9.02,10.50,0.86
270,Não,7.58,9.27,0.82
271,Sim,9.01,11.43,0.79
272,Não,6.59,8.93,0.74
273,Não,3.14,5.03,0.62
274,Sim,9.01,10.83,0.83
275,Sim,9.01,12.13,0.74
276,Não,6.33,7.73,0.82
277,Sim,9.00,11.03,0.82
278,Sim,9.01,10.47,0.86
279,Sim,9.02,11.17,0.81
280,Não,6.04,9.10,0.66
281,Sim,9.01,10.63,0.85
282,Não,4.20,6.73,0.62
283,Não,6.58,7.87,0.84
284,Não,6.48,7.47,0.87
285,Não,6.95,8.53,0.81
286,Sim,9.01,10.97,0.82
287,Sim,9.02,10.97,0.82
288,Não,5.96,7.90,0.75
289,Não,2.10,3.47,0.60
290,Não,8.04,10.03,0.80
291,Não,5.89,7.83,0.75
292,Não,7.12,9.07,0.79
293,Não,5.86,7.80,0.75
294,Sim,9.02,12.17,0.74
295,Não,8.06,10.03,0.80
296,Não,6.29,7.33,0.86
297,Sim,9.02,10.97,0.82
298,Não,5.56,7.53,0.74
299,Não,3.45,5.50,0.63
300,Não,5.16,6.97,0.74
301,Não,5.88,7.83,0.75
302,Não,7.55,9.00,0.84
303,Não,8.91,9.97,0.89
304,Não,8.35,10.57,0.79
305,Sim,9.03,11.13,0.81
306,Não,6.23,8.07,0.77
307,Não,6.30,8.40,0.75
308,Não,6.21,7.90,0.79
309,Não,6.06,10.27,0.59
310,Não,8.05,9.40,0.86
311,Não,5.09,6.70,0.76
312,Não,8.20,9.93,0.83
313,Não,7.69,8.77,0.88
314,Sim,9.00,11.03,0.82
315,Não,8.91,11.03,0.81
316,Não,2.57,4.67,0.55
317,Não,6.04,7.63,0.79
318,Sim,9.01,10.17,0.89
319,Não,6.01,8.07,0.74
320,Sim,9.00,11.40,0.79
321,Sim,9.01,10.70,0.84
322,Não,7.62,10.00,0.76
323,Sim,9.01,10.13,0.89
324,Não,7.41,9.57,0.77
325,Não,6.77,7.77,0.87
326,Não,3.84,5.57,0.69
327,Não,6.17,8.47,0.73
328,Não,4.03,5.73,0.70
329,Não,4.15,6.90,0.60
330,Sim,9.01,11.13,0.81
331,Não,7.54,8.90,0.85
332,Não,8.52,10.43,0.82
333,Não,8.53,10.43,0.82
334,Sim,9.05,10.30,0.88
335,Não,6.24,8.33,0.75
336,Sim,9.01,10.73,0.84
337,Não,6.22,8.17,0.76
338,Sim,9.00,10.33,0.87
339,Não,5.96,7.77,0.77
340,Não,5.99,8.47,0.71
341,Não,5.41,6.90,0.78
342,Sim,9.01,11.23,0.80
343,Não,6.03,7.63,0.79
344,Sim,9.03,12.00,0.75
345,Não,8.61,10.83,0.80
346,Não,6.09,7.77,0.78
347,Não,6.20,7.93,0.78
348,Não,6.79,8.73,0.78
349,Sim,9.02,11.30,0.80
350,Sim,9.02,10.73,0.84
