Episódio,Sucesso,Distância (m),Tempo (s),Velocidade (m/s)
365,Não,-0.28,6.77,-0.04
366,Não,3.19,6.67,0.48
367,Não,6.11,13.13,0.47
368,Não,0.04,17.00,0.00
369,Não,1.34,9.93,0.13
370,Não,0.67,8.43,0.08
371,Não,8.67,14.47,0.60
372,Não,8.04,20.03,0.40
373,Não,3.02,9.90,0.31
374,Não,1.43,5.57,0.26
375,Não,0.83,21.07,0.04
376,Não,0.57,25.00,0.02
377,Não,3.61,9.07,0.40
378,Não,1.42,9.70,0.15
379,Não,7.18,14.80,0.49
380,Não,2.29,15.33,0.15
381,Não,0.97,12.70,0.08
382,Não,2.27,22.33,0.10
383,Não,0.98,1.40,0.70
384,Não,1.75,21.37,0.08
385,Não,8.03,17.53,0.46
386,Não,1.81,8.43,0.22
387,Não,8.43,17.63,0.48
388,Não,8.99,19.17,0.47
389,Não,0.45,7.70,0.06
390,Não,1.28,21.70,0.06
391,Não,0.24,4.00,0.06
392,Não,1.49,7.60,0.20
393,Não,2.09,16.67,0.13
394,Sim,9.05,15.47,0.59
395,Não,7.94,20.07,0.40
396,Não,7.18,14.57,0.49
397,Não,-0.18,14.07,-0.01
398,Não,2.77,6.73,0.41
399,Não,2.79,6.63,0.42
400,Não,4.86,7.87,0.62
401,Não,0.49,6.87,0.07
402,Não,0.71,14.37,0.05
403,Não,7.15,11.63,0.61
404,Não,0.93,11.43,0.08
405,Não,0.07,4.13,0.02
406,Não,0.90,25.00,0.04
407,Não,2.20,8.93,0.25
408,Não,0.70,8.03,0.09
409,Não,0.42,25.00,0.02
410,Não,1.97,22.90,0.09
411,Não,1.36,14.87,0.09
412,Não,5.51,23.57,0.23
413,Não,0.49,25.00,0.02
414,Sim,9.03,21.70,0.42
415,Não,1.23,14.10,0.09
416,Sim,9.01,18.43,0.49
417,Não,1.03,13.50,0.08
418,Não,3.11,12.20,0.25
419,Não,7.92,16.13,0.49
420,Não,6.30,10.23,0.62
421,Não,7.55,14.20,0.53
422,Não,1.37,9.87,0.14
423,Não,1.64,6.03,0.27
424,Não,0.67,10.20,0.07
425,Não,7.46,14.33,0.52
426,Não,3.59,6.67,0.54
427,Não,8.60,18.53,0.46
428,Não,0.97,15.27,0.06
429,Não,0.40,25.00,0.02
430,Não,7.02,17.50,0.40
431,Não,1.86,9.83,0.19
432,Sim,9.03,19.10,0.47
433,Não,0.87,1.40,0.62
434,Não,1.00,15.23,0.07
435,Sim,9.00,13.37,0.67
436,Não,0.89,13.73,0.06
437,Não,0.81,6.03,0.13
438,Não,5.92,10.17,0.58
439,Sim,9.01,22.57,0.40
440,Não,6.27,13.40,0.47
441,Não,0.59,8.83,0.07
442,Não,0.80,9.87,0.08
443,Não,0.28,5.00,0.06
444,Não,0.92,1.70,0.54
445,Não,2.40,15.73,0.15
446,Não,1.30,8.00,0.16
447,Não,1.04,1.57,0.66
448,Não,1.75,14.30,0.12
449,Não,0.85,6.30,0.13
450,Não,1.13,12.10,0.09
451,Não,3.46,11.00,0.31
452,Não,1.61,22.40,0.07
453,Não,8.02,16.87,0.48
454,Não,1.17,23.67,0.05
455,Não,7.57,15.10,0.50
456,Não,7.32,22.47,0.33
457,Não,1.11,13.63,0.08
458,Não,0.83,14.20,0.06
459,Não,2.69,5.33,0.50
460,Sim,9.01,16.80,0.54
461,Não,2.02,4.83,0.42
462,Não,2.60,11.03,0.24
463,Não,1.07,6.80,0.16
464,Não,1.11,8.47,0.13
465,Não,0.96,6.17,0.16
466,Não,8.68,17.60,0.49
467,Não,4.03,7.43,0.54
468,Não,8.17,11.20,0.73
469,Não,1.12,2.33,0.48
470,Não,1.34,5.10,0.26
471,Não,0.62,13.20,0.05
472,Não,5.20,10.20,0.51
473,Não,1.75,7.50,0.23
474,Não,6.76,17.27,0.39
475,Não,0.21,4.97,0.04
476,Não,3.13,7.43,0.42
477,Não,1.16,22.57,0.05
478,Não,1.14,17.30,0.07
479,Não,2.12,7.43,0.29
480,Não,7.40,12.07,0.61
481,Não,0.68,16.43,0.04
482,Não,7.41,14.93,0.50
483,Sim,9.01,20.80,0.43
484,Não,7.53,20.03,0.38
485,Não,2.06,7.43,0.28
486,Não,1.15,9.30,0.12
487,Não,6.67,17.60,0.38
488,Não,2.44,15.70,0.16
489,Não,-0.01,12.87,-0.00
490,Não,0.64,11.43,0.06
491,Não,2.41,13.40,0.18
492,Não,7.75,10.80,0.72
493,Não,1.52,17.73,0.09
494,Não,0.14,8.70,0.02
495,Não,1.46,9.23,0.16
496,Não,1.51,8.00,0.19
497,Não,2.02,10.30,0.20
498,Não,0.96,11.50,0.08
499,Não,1.03,18.27,0.06
500,Não,7.79,15.63,0.50
501,Não,1.03,7.10,0.14
502,Não,6.23,18.60,0.34
503,Sim,9.00,14.57,0.62
504,Não,1.19,6.70,0.18
505,Não,0.90,13.10,0.07
506,Não,2.50,6.43,0.39
507,Não,0.74,13.37,0.06
508,Não,0.86,14.20,0.06
509,Sim,9.01,13.50,0.67
510,Não,1.30,6.33,0.20
511,Não,0.87,6.30,0.14
512,Não,0.54,7.10,0.08
513,Sim,9.00,16.27,0.55
514,Não,0.49,7.33,0.07
515,Não,2.05,13.43,0.15
516,Não,8.00,14.20,0.56
517,Não,2.78,7.73,0.36
518,Não,8.17,14.37,0.57
519,Não,1.30,8.97,0.15
520,Não,7.52,13.87,0.54
521,Não,3.77,5.83,0.65
522,Não,1.41,14.30,0.10
523,Não,1.32,6.83,0.19
524,Não,2.94,16.33,0.18
525,Não,7.52,21.20,0.35
526,Não,8.30,16.07,0.52
527,Não,6.57,12.67,0.52
528,Não,2.52,9.13,0.28
529,Não,7.48,14.87,0.50
530,Não,1.96,7.07,0.28
531,Não,2.28,8.60,0.27
532,Não,2.74,5.43,0.50
533,Não,0.71,12.87,0.06
534,Não,2.00,12.23,0.16
535,Não,5.67,11.57,0.49
536,Não,3.47,7.10,0.49
537,Não,8.38,13.70,0.61
538,Não,0.72,20.00,0.04
539,Não,2.39,9.57,0.25
540,Não,0.99,2.47,0.40
541,Sim,9.01,16.40,0.55
542,Não,8.45,14.53,0.58
543,Não,0.89,11.30,0.08
544,Sim,9.03,17.53,0.52
545,Não,1.64,9.97,0.16
546,Não,1.47,12.37,0.12
547,Não,5.52,10.37,0.53
548,Não,7.13,15.47,0.46
549,Não,1.20,13.90,0.09
550,Não,1.71,7.87,0.22
551,Não,2.29,6.77,0.34
552,Não,5.24,8.97,0.58
553,Não,0.57,9.23,0.06
554,Não,1.09,15.17,0.07
555,Não,6.41,14.90,0.43
556,Não,1.11,1.77,0.63
557,Não,-0.11,3.37,-0.03
558,Não,6.31,13.93,0.45
559,Não,1.28,6.07,0.21
560,Não,6.98,14.90,0.47
561,Não,1.17,12.00,0.10
562,Não,1.35,21.83,0.06
563,Não,0.62,25.00,0.02
564,Não,8.03,17.00,0.47
565,Não,-0.17,7.93,-0.02
566,Não,0.71,9.47,0.07
567,Não,1.28,5.10,0.25
568,Não,8.89,15.77,0.56
569,Não,3.12,8.37,0.37
570,Não,0.56,12.87,0.04
571,Sim,9.01,14.73,0.61
572,Não,6.62,12.80,0.52
573,Sim,9.02,15.27,0.59
574,Não,1.01,13.70,0.07
575,Não,4.02,8.00,0.50
576,Não,2.34,7.23,0.32
577,Não,7.94,13.00,0.61
578,Sim,9.01,16.47,0.55
579,Não,1.12,14.57,0.08
580,Sim,9.00,17.03,0.53
581,Não,-0.06,4.33,-0.01
582,Não,1.90,23.17,0.08
583,Não,2.45,6.93,0.35
584,Não,3.91,10.83,0.36
585,Não,8.24,19.27,0.43
586,Não,1.04,14.00,0.07
587,Não,8.17,12.97,0.63
588,Não,1.76,15.33,0.11
589,Não,0.54,25.00,0.02
590,Não,2.08,25.00,0.08
591,Não,8.89,15.30,0.58
592,Não,1.44,11.10,0.13
593,Não,1.65,15.33,0.11
594,Sim,9.01,16.23,0.55
595,Não,1.93,6.07,0.32
596,Não,6.70,12.63,0.53
597,Não,7.73,16.67,0.46
598,Não,5.07,14.03,0.36
599,Não,7.69,13.07,0.59
600,Não,7.92,13.70,0.58
601,Não,7.41,16.00,0.46
602,Não,6.71,13.73,0.49
603,Não,1.12,17.67,0.06
604,Não,7.60,17.00,0.45
605,Não,6.50,9.83,0.66
606,Não,1.25,7.23,0.17
607,Não,3.62,22.10,0.16
608,Não,1.11,1.97,0.56
609,Não,6.48,16.13,0.40
610,Não,1.11,16.27,0.07
611,Não,6.07,9.97,0.61
612,Sim,9.01,18.40,0.49
613,Não,-0.31,6.67,-0.05
614,Não,6.55,12.47,0.53
615,Não,0.99,1.57,0.63
616,Não,0.90,1.40,0.64
617,Não,0.42,25.00,0.02
618,Não,3.05,9.37,0.33
619,Não,1.41,15.63,0.09
620,Não,2.13,9.23,0.23
621,Não,0.83,21.33,0.04
622,Não,1.21,12.73,0.09
623,Não,4.62,12.77,0.36
624,Não,1.30,19.40,0.07
625,Não,2.72,8.90,0.31
626,Não,1.43,5.30,0.27
627,Não,1.12,7.90,0.14
628,Sim,9.02,16.60,0.54
629,Não,7.24,14.97,0.48
630,Não,1.58,11.07,0.14
631,Não,5.56,17.07,0.33
632,Não,0.23,4.73,0.05
633,Não,0.98,2.70,0.36
634,Não,1.29,6.97,0.18
635,Não,1.89,10.00,0.19
636,Não,3.09,5.37,0.58
637,Não,1.47,3.50,0.42
638,Não,1.52,16.97,0.09
639,Não,0.95,6.63,0.14
640,Não,0.09,4.07,0.02
641,Não,0.70,21.30,0.03
642,Não,0.77,18.20,0.04
643,Não,7.56,14.83,0.51
644,Não,6.07,8.30,0.73
645,Não,0.67,16.27,0.04
646,Não,0.97,11.50,0.08
647,Não,7.87,15.23,0.52
648,Não,6.35,15.87,0.40
649,Sim,9.02,13.83,0.65
650,Não,5.92,12.20,0.49
651,Não,8.26,12.87,0.64
652,Não,2.47,8.50,0.29
653,Não,1.30,9.13,0.14
654,Não,7.45,16.30,0.46
655,Não,0.90,2.63,0.34
656,Não,7.69,25.00,0.31
657,Não,7.58,12.63,0.60
658,Sim,9.00,17.53,0.51
659,Não,4.00,6.87,0.58
660,Não,0.85,7.30,0.12
661,Não,2.89,11.03,0.26
662,Não,0.95,2.53,0.38
663,Não,5.94,13.83,0.43
664,Não,1.59,9.70,0.16
665,Não,6.35,15.83,0.40
666,Não,7.51,14.43,0.52
667,Não,1.19,25.00,0.05
668,Sim,9.00,15.70,0.57
669,Não,1.64,13.40,0.12
670,Não,4.10,7.73,0.53
671,Não,2.22,7.87,0.28
672,Não,0.79,6.13,0.13
673,Não,0.83,16.67,0.05
674,Não,2.11,9.20,0.23
675,Não,0.27,8.57,0.03
676,Não,0.70,16.40,0.04
677,Não,1.23,16.30,0.08
678,Não,6.32,12.43,0.51
679,Sim,9.00,16.73,0.54
680,Não,8.81,23.00,0.38
681,Não,0.32,4.67,0.07
682,Não,0.73,14.47,0.05
683,Não,3.32,13.27,0.25
684,Não,2.54,9.63,0.26
685,Não,2.00,16.27,0.12
686,Não,0.92,13.63,0.07
687,Não,7.94,11.83,0.67
688,Não,1.09,12.87,0.08
689,Não,1.20,8.67,0.14
690,Não,6.09,25.00,0.24
691,Não,0.14,8.77,0.02
692,Não,8.76,13.17,0.67
693,Não,2.58,9.53,0.27
694,Não,8.05,17.23,0.47
695,Não,0.21,13.40,0.02
696,Não,0.24,4.43,0.05
697,Não,0.42,25.00,0.02
698,Não,0.95,14.63,0.06
699,Não,1.62,3.13,0.52
700,Não,6.15,25.00,0.25
701,Não,1.08,1.83,0.59
702,Não,2.36,6.20,0.38
703,Não,0.84,13.17,0.06
704,Não,2.97,10.77,0.28
705,Não,1.18,3.13,0.38
706,Não,2.48,7.27,0.34
707,Não,1.97,17.13,0.12
708,Não,1.01,9.23,0.11
709,Não,0.99,7.20,0.14
710,Não,1.48,9.87,0.15
711,Não,1.30,20.77,0.06
712,Não,0.61,20.57,0.03
713,Não,8.12,14.93,0.54
714,Não,3.25,7.53,0.43
715,Não,2.29,25.00,0.09
716,Não,0.89,23.43,0.04
717,Não,8.36,23.87,0.35
718,Não,1.00,21.00,0.05
719,Não,0.66,15.50,0.04
720,Não,4.54,13.07,0.35
721,Não,6.70,12.43,0.54
722,Não,1.28,20.40,0.06
723,Não,2.47,8.00,0.31
724,Não,0.68,8.50,0.08
725,Não,1.05,7.47,0.14
726,Não,3.11,10.90,0.29
727,Não,1.16,6.53,0.18
728,Não,7.66,17.17,0.45
729,Não,1.11,9.30,0.12
730,Não,6.65,11.07,0.60
731,Não,0.67,15.90,0.04
732,Não,0.34,17.67,0.02
733,Não,1.21,5.37,0.22
734,Não,1.03,22.33,0.05
735,Não,6.71,17.07,0.39
736,Não,5.71,25.00,0.23
737,Não,0.76,16.50,0.05
738,Não,1.01,7.57,0.13
739,Não,0.73,13.50,0.05
740,Não,-0.47,5.30,-0.09
741,Não,1.40,8.57,0.16
742,Não,6.02,11.03,0.55
743,Não,6.55,20.80,0.31
744,Não,0.70,6.90,0.10
745,Não,6.99,13.30,0.53
746,Não,6.07,10.27,0.59
747,Não,3.39,6.97,0.49
748,Não,8.90,25.00,0.36
749,Não,1.90,3.67,0.52
750,Não,0.91,25.00,0.04
751,Não,1.21,12.67,0.10
752,Não,0.18,6.27,0.03
753,Não,1.24,17.23,0.07
754,Não,6.25,13.77,0.45
755,Não,2.13,12.53,0.17
756,Não,5.23,14.30,0.37
757,Não,8.91,16.47,0.54
758,Não,8.05,15.27,0.53
759,Sim,9.01,18.07,0.50
760,Não,0.93,13.53,0.07
761,Não,2.06,6.13,0.34
762,Não,0.94,9.30,0.10
763,Não,6.06,10.60,0.57
764,Não,2.68,11.97,0.22
765,Não,0.26,17.10,0.02
766,Sim,9.02,17.00,0.53
767,Não,8.43,16.60,0.51
768,Não,1.31,10.40,0.13
769,Não,1.94,9.20,0.21
770,Sim,9.00,19.07,0.47
771,Não,6.02,25.00,0.24
772,Não,1.44,9.60,0.15
773,Não,0.59,14.60,0.04
774,Não,0.97,9.70,0.10
775,Não,0.82,21.43,0.04
776,Não,8.41,15.70,0.54
777,Não,5.28,12.43,0.43
778,Não,2.85,9.83,0.29
779,Não,4.74,7.43,0.64
780,Não,3.01,6.53,0.46
781,Não,0.59,10.03,0.06
782,Não,0.47,25.00,0.02
783,Não,8.82,17.33,0.51
784,Não,0.50,25.00,0.02
785,Não,2.13,7.63,0.28
786,Não,5.15,12.83,0.40
787,Não,4.62,12.43,0.37
788,Sim,9.02,12.70,0.71
789,Não,0.98,12.97,0.08
790,Não,0.86,2.80,0.31
791,Não,1.25,7.83,0.16
792,Não,1.15,10.23,0.11
793,Não,0.33,4.77,0.07
794,Não,0.93,17.80,0.05
795,Não,7.84,23.73,0.33
796,Não,0.92,7.97,0.12
797,Não,3.52,6.93,0.51
798,Não,1.68,5.03,0.33
799,Não,1.19,1.60,0.75
800,Não,-0.10,4.50,-0.02
801,Não,0.76,19.63,0.04
802,Não,6.14,14.13,0.43
803,Não,2.89,10.70,0.27
804,Não,1.31,9.07,0.14
805,Não,0.20,3.93,0.05
806,Não,7.60,15.30,0.50
807,Não,6.98,15.77,0.44
808,Não,0.13,12.57,0.01
809,Não,8.60,13.03,0.66
810,Não,5.95,18.23,0.33
811,Não,8.75,18.57,0.47
812,Não,5.64,9.77,0.58
813,Não,0.54,21.43,0.03
814,Não,8.55,16.97,0.50
815,Não,0.77,11.93,0.06
